LIFNR,NAME1,ORT01,STRAS
0000007000,"Ziegler, Michele",Villars-sur-Glâne,Weibelstrasse 6
0000007001,"Frey, Alessandra",Wettingen,Kochstrasse 479
0000007002,"Geiger, Cristina",Männedorf,Thommenstrasse 398
0000007003,Wenger & Partner,Freiburg,Christenstrasse 71
0000007004,Senn AG,Meyrin,Kochstrasse 954
0000007005,Ammann Wyss & Söhne,Cham,Ernststrasse 2
0000007006,Roth Jenni & Co.,Onex,Bättigstrasse 36
0000007007,Bättig Kuhn GmbH,Basel,Kellerstrasse 54
0000007008,Michel Stutz AG,Dietikon,Wirzstrasse 26
0000007009,Mäder GmbH,Spiez,Pfisterstrasse 5
0000007010,Egli Wolf & Cie.,Genf,Beckstrasse 8
0000007011,Kälin GmbH,Nyon,Siegriststrasse 4
0000007012,Michel Schoch & Partner,Siders,Fehrstrasse 5
0000007013,Knecht AG,Wädenswil,Stadelmannstrasse 74
0000007014,Wolf AG,Delsberg,Gfellerstrasse 744
0000007015,Jost Maurer GmbH,Schlieren,Schmidtstrasse 9
0000007016,Schaub Stadelmann & Söhne,Männedorf,Bergerstrasse 55
0000007017,Staub Thommen GmbH,Einsiedeln,Zinggstrasse 12
0000007018,Hofer Hafner & Co.,Opfikon,Jäggistrasse 975
0000007019,Felder Stauffer & Cie.,Lyss,Christenstrasse 225
0000007020,Kägi GmbH,Rapperswil-Jona,Hafnerstrasse 81
0000007021,Siegrist & Söhne,Schwyz,Stockerstrasse 146
0000007022,Eichenberger GmbH,Pratteln,Huberstrasse 8
0000007023,Sidler Fischer GmbH,Adliswil,Furrerstrasse 227
0000007024,Schwarz & Co.,Plan-les-Ouates,Knechtstrasse 9
0000007025,Walder GmbH,Möhlin,Stettlerstrasse 63
0000007026,Egger Brun & Co.,Freiburg,Hoffmannstrasse 98
0000007027,Lüthi Stöckli AG,Spreitenbach,Felberstrasse 4
0000007028,Wagner AG,Allschwil,Käserstrasse 94
0000007029,Schoch AG,Allschwil,Lehmannstrasse 91
0000007030,Meister Suter AG,Zürich,Leustrasse 349
0000007031,Brun Peter & Söhne,Lugano,Müllerstrasse 934
0000007032,Kaiser & Co.,Frauenfeld,Furrerstrasse 13
0000007033,Steiner AG,Wädenswil,Bolligerstrasse 5
0000007034,Martin GmbH,Schaffhausen,Zürcherstrasse 5
0000007035,Zimmermann Stettler GmbH,Chêne-Bougeries,Albrechtstrasse 65
0000007036,Seiler Hasler AG,Münchenstein,Küngstrasse 74
0000007037,Ziegler Leu AG,Delsberg,Brunstrasse 879
0000007038,Schwab & Co.,Yverdon-les-Bains,Mettlerstrasse 7
0000007039,Baumann Berger GmbH,Affoltern,Portmannstrasse 83
0000007040,Steffen Stettler & Co.,Vevey,Spörristrasse 377
0000007041,Weibel & Partner,Küsnacht,Baumgartnerstrasse 466
0000007042,Maurer & Partner,Brugg,Huberstrasse 20
0000007043,Lanz Bättig & Cie.,Buchs,Staubstrasse 15
0000007044,Martin GmbH,Neuhausen,Bosshardstrasse 6
0000007045,Siegrist Ziegler GmbH,Carouge,Moserstrasse 51
0000007046,Frei AG,Illnau-Effretikon,Toblerstrasse 7
0000007047,Siegrist & Söhne,Romanshorn,Müllerstrasse 708
0000007048,Peter Wolf AG,Davos,Staufferstrasse 466
0000007049,Kuhn Jäggi GmbH,Dietikon,Schumacherstrasse 458
0000007050,Furrer & Söhne,Münsingen,Näfstrasse 6
0000007051,Schmidt Scherrer & Co.,Regensdorf,Bachmannstrasse 10
0000007052,Hasler AG,La Tour-de-Peilz,Stuckistrasse 18
0000007053,Zürcher Marti AG,Veyrier,Peterstrasse 7
0000007054,Lehmann Wyss GmbH,Affoltern,Schweizerstrasse 95
0000007055,Wirz GmbH,Risch,Forsterstrasse 116
0000007056,Herzog Schärer GmbH,Frauenfeld,Imhofstrasse 30
0000007057,Schoch Baur & Söhne,Spreitenbach,Wüthrichstrasse 932
0000007058,Wyss & Cie.,Pully,Joststrasse 65
0000007059,Hofer Geiger & Söhne,Veyrier,Steinerstrasse 43
0000007060,Stocker GmbH,Chêne-Bougeries,Rüeggstrasse 9
0000007061,Pfister Zimmermann & Cie.,Spiez,Stalderstrasse 28
0000007062,Felber & Cie.,Zug,Steinerstrasse 41
0000007063,Stadelmann Betschart AG,Sarnen,Blumstrasse 3
0000007064,Schärer Betschart & Söhne,Langenthal,Martistrasse 15
0000007065,Steinmann Bühlmann & Cie.,Zollikofen,Suterstrasse 28
0000007066,Wyss Stöckli GmbH,Lugano,Kuhnstrasse 92
0000007067,Egli & Co.,Ebikon,Albrechtstrasse 1
0000007068,Scherrer & Söhne,Uzwil,Furrerstrasse 96
0000007069,Fehr AG,Zofingen,Bühlerstrasse 808
0000007070,Hodel AG,Bulle,Imhofstrasse 23
0000007071,Schweizer Bernasconi GmbH,Spiez,Schwarzstrasse 629
0000007072,Lüscher Felder AG,La Chaux-de-Fonds,Hermannstrasse 85
0000007073,Maier Kaiser GmbH,Versoix,Stadelmannstrasse 92
0000007074,Hartmann AG,Aigle,Winklerstrasse 9
0000007075,Schäfer Rüegg & Partner,Neuhausen,Wirthstrasse 97
0000007076,Kuhn GmbH,Küsnacht,Maierstrasse 39
0000007077,Kaiser Bauer GmbH,Kreuzlingen,Kaufmannstrasse 4
0000007078,Koch Meili & Partner,Baar,Sutterstrasse 99
0000007079,Kern & Co.,Wettingen,Kernstrasse 665
